,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,val_number, consent_value ,description
95454,Marlborough,Marlborough,30-Sep-17,BC171174,158 Battys Road Blenheim,,,,,," $4,800.00 ",free standing fisher hamner log fire with wetback
95455,Marlborough,Marlborough,30-Sep-17,BC171156,18 Brydon Street Renwick,,,,,," $4,800.00 ",free standing jayline ss280pw log fire with wetback
95457,Marlborough,Marlborough,30-Aug-17,BC171034,26 Anglesea Street Renwick,,,,,," $4,800.00 ",free standing masport r5000 legs log fire
95458,Marlborough,Marlborough,30-Aug-17,BC170983,22 Gascoigne Street Blenheim,,,,,," $4,650.00 ",free standing metro eco xtreme rad log fire with wetback
95461,Marlborough,Marlborough,30-Aug-17,BC170973,230 Scott Street Blenheim,,,,,," $4,500.00 ",free-standing metro eco xtreme rad log fire
95463,Marlborough,Marlborough,30-Aug-17,BC170977,35 Henderson Street Blenheim,,,,,," $4,500.00 ",inbuilt metro smart insert log fire
95464,Marlborough,Marlborough,30-Aug-17,BC171036,296 Awatere Valley Road Awatere Valley,,,,,," $4,500.00 ",metro smart insert log fire
95465,Marlborough,Marlborough,30-Jul-17,BC170872,7 Henderson Street Blenheim,,,,,," $4,500.00 ",inbuilt metro smart insert log fire
95466,Marlborough,Marlborough,30-Sep-17,BC171150,2 Nicholson Street Renwick,,,,,," $4,500.00 ",free-standing masport wanaka log fire
95467,Marlborough,Marlborough,30-Sep-17,BC171133,11 Lewis Street Blenheim,,,,,," $4,500.00 ",free-standing masport r5000 ped log fire
95468,Marlborough,Marlborough,30-Sep-17,BC171110,Moetapu Bay Road Pelorus Sound / Te Hoiere,,,,,," $4,500.00 ",free-standing scandia heat & cook log fire
95470,Marlborough,Marlborough,30-Aug-17,BC170957,21 Beaumont Street Seddon,,,,,," $4,500.00 ",free standing jayline fr400 log fire
95471,Marlborough,Marlborough,30-Jul-17,BC170838,68 B Hospital Road Blenheim,,,,,," $4,500.00 ",free-standing metro eco tiny rad log fire
95472,Marlborough,Marlborough,30-Jul-17,BC170891,8 - 58 Maxwell Road Blenheim,,,,,," $4,500.00 ",free standing metro eco tiny ped log fire
95474,Marlborough,Marlborough,30-Aug-17,BC171077,123 Maxwell Road Blenheim,,,,,," $4,500.00 ",metro smart insert log fire
95475,Marlborough,Marlborough,30-Aug-17,BC170998,105 Cleghorn Street Blenheim,,,,,," $4,400.00 ",free standing yunca hobson log fire
95476,Marlborough,Marlborough,30-Dec-17,BC171595,3 - 17 Cleghorn Street Blenheim,,,,,," $4,350.00 ",free standing masport r1500 log fire
95478,Marlborough,Marlborough,30-Sep-17,BC171117,7 McFarlane Place Blenheim,,,,,," $4,300.00 ",free standing metro wee rad log fire with wetback
95480,Marlborough,Marlborough,30-Aug-17,BC170950,Kenepuru Road Mahau Sound,,,,,," $4,300.00 ",free standing yunca hobson log fire
95482,Marlborough,Marlborough,30-Nov-17,BC171444,55 Nelson Street Blenheim,,,,,," $4,300.00 ",free-standing metro xtreme rad base log fire
95486,Marlborough,Marlborough,30-Dec-17,BC171585,18 Leitrim Street Blenheim,,,,,," $4,300.00 ",inbuilt jayline is550 log fire
95487,Marlborough,Marlborough,30-Nov-17,BC171373,2 - 13 Fyffe Street Blenheim,,,,,," $4,230.00 ",free standing metro wee rad base log fire
95488,Marlborough,Marlborough,30-Aug-17,BC171032,301 Ward Beach Road Flaxbourne,,,,,," $4,200.00 ",free-standing masport r1500 ped log fire
95489,Marlborough,Marlborough,30-Dec-17,BC171553,3 Milford Street Blenheim,,,,,," $4,200.00 ","free-standing metro wee rad     heating marlborough 2013 log fire                                        limited
55 grove road mayfield blenheim   7201"
95490,Marlborough,Marlborough,30-Nov-17,BC171443,9 Washington Crescent Blenheim,,,,,," $4,200.00 ",metro smart insert log fire
95491,Marlborough,Marlborough,30-Sep-17,BC171239,194 Maxwell Road Blenheim,,,,,," $4,100.00 ",metro smart insert log fire
95492,Marlborough,Marlborough,30-Aug-17,BC171031,Cape Campbell Road Blind River,,,,,," $4,100.00 ",free standing masport r1500 ped log fire
95493,Marlborough,Marlborough,30-Nov-17,BC171432,4 Karaka Street Rarangi,,,,,," $4,100.00 ",free-standing masport osburn 1600 log fire
95494,Marlborough,Marlborough,30-Aug-17,BC171067,42 Lucas Street Blenheim,,,,,," $4,100.00 ",metro smart insert log fire
95495,Marlborough,Marlborough,30-Nov-17,BC171431,8 A Lane Street Blenheim,,,,,," $4,075.00 ",free standing masport r1500 log fire
95496,Marlborough,Marlborough,30-Aug-17,BC170993,180 Maxwell Road Blenheim,,,,,," $4,000.00 ",inbuilt masport bannockburn i2000 masonry log fire
95497,Marlborough,Marlborough,30-Jul-17,BC170947,8 Karina Crescent Blenheim,,,,,," $4,000.00 ",inbuilt masport bannockburn i2000 log fire
95499,Marlborough,Marlborough,30-Sep-17,BC171225,39 Guernsey Road Waihopai,,,,,," $4,000.00 ",free standing firenzo encore ag log fire
95501,Marlborough,Marlborough,30-Aug-17,BC171035,43 A Dillon Street Blenheim,,,,,," $4,000.00 ",free standing metro wee rad log fire
95503,Marlborough,Marlborough,30-Aug-17,BC170994,13 A Farmar Street Blenheim,,,,,," $4,000.00 ",inbuilt bannockburn i2000 masonry log fire
95504,Marlborough,Marlborough,30-Nov-17,BC171509,6 Schwass Street Seddon,,,,,," $4,000.00 ",free standing metro wee rad legs log fire with wetback
95505,Marlborough,Marlborough,30-Aug-17,BC170984,175 A Weld Street Blenheim,,,,,," $4,000.00 ",free standing masport r5000 ped log fire
95507,Marlborough,Marlborough,30-Sep-17,BC171109,12 Catalina Crescent Blenheim,,,,,," $4,000.00 ",amendment to bc170960 - dwelling alterations/free standing masport akaroa log fire
95508,Marlborough,Marlborough,30-Dec-17,BC171610,1 - 28 Lakings Road Blenheim,,,,,," $4,000.00 ",free standing metro xtreme rad base log fire
95510,Marlborough,Marlborough,30-Aug-17,BC170989,220 Howick Road Blenheim,,,,,," $4,000.00 ",free standing yunca hobson log fire
95511,Marlborough,Marlborough,30-Aug-17,BC170978,71 B Weld Street Blenheim,,,,,," $4,000.00 ",free standing jayline fr400 log fire
95512,Marlborough,Marlborough,30-Nov-17,BC171433,18 O'Dwyers Road Rapaura,,,,,," $4,000.00 ",inbuilt metro smart insert log fire
95513,Marlborough,Marlborough,30-Jul-17,BC170845,17 Seaview Crescent Picton,,,,,," $4,000.00 ",free-standing metro eco wee ped log fire
95515,Marlborough,Marlborough,30-Jul-17,BC170833,77 Redwood Street Blenheim,,,,,," $4,000.00 ",free-standing masport osburn 1600 log fire with wetback
95516,Marlborough,Marlborough,30-Aug-17,BC171046,23 Hampden Street Picton,,,,,," $4,000.00 ",inbuilt masport bannock burn i2000 masonry log fire
95517,Marlborough,Marlborough,30-Jul-17,BC170899,15 Houghton Crescent Blenheim,,,,,," $4,000.00 ",free standing metro eco smart insert log fire
95519,Marlborough,Marlborough,30-Sep-17,BC171128,3 Moana Crescent Blenheim,,,,,," $3,950.00 ",inbuilt masport bannockburn i2000 log fire
95520,Marlborough,Marlborough,30-Jul-17,BC170940,12 Clearwater Place Blenheim,,,,,," $3,800.00 ",free-standing metro xtreme rad base log fire
95521,Marlborough,Marlborough,30-Jul-17,BC170852,6 Ward Street Blenheim,,,,,," $3,800.00 ",free-standing woodsman brunner mk ii log fire
95522,Marlborough,Marlborough,30-Aug-17,BC170999,50 Hampden Street Picton,,,,,," $3,800.00 ",free standing masport r1500 ped log fire
95523,Marlborough,Marlborough,30-Dec-17,BC171564,21 A Lane Street Blenheim,,,,,," $3,800.00 ",free standing masport r1500 log fire
95524,Marlborough,Marlborough,30-Sep-17,BC171214,1 Fyffe Street Blenheim,,,,,," $3,800.00 ",free standing woodsman brunner mkii log fire
95525,Marlborough,Marlborough,30-Dec-17,BC171532,113 Hospital Road Blenheim,,,,,," $3,750.00 ",free standing metro wee rad log fire
95526,Marlborough,Marlborough,30-Aug-17,BC171090,46 Devon Street Picton,,,,,," $3,600.00 ",free standing metro wee rad log fire
95527,Marlborough,Marlborough,30-Jul-17,BC170859,37 McCormicks Road Whatamango,,,,,," $3,600.00 ",free-standing masport f3000 log fire
95528,Marlborough,Marlborough,30-Sep-17,BC171238,24 York Street Picton,,,,,," $3,600.00 ",free standing masport r1500 ped log fire
95529,Marlborough,Marlborough,30-Jul-17,BC170901,2 Wilson Street Seddon,,,,,," $3,600.00 ",free standing woodsman tasman mkii log fire
95530,Marlborough,Marlborough,30-Jul-17,BC170926,148 Lindens Road Koromiko,,,,,," $3,600.00 ",free standing woodsman brunner mkii log fire
95532,Marlborough,Marlborough,30-Jul-17,BC170854,11 Lansdowne Street Blenheim,,,,,," $3,530.00 ",inbuilt masport le4000 provincial log fire
95534,Marlborough,Marlborough,30-Sep-17,BC171163,106 Wither Road Blenheim,,,,,," $3,500.00 ",free standing masport r1500 ped log fire
95536,Marlborough,Marlborough,30-Aug-17,BC171063,14 A Morrington Terrace Blenheim,,,,,," $3,500.00 ",free-standing woodsman brunner mk ii log fire
95537,Marlborough,Marlborough,30-Aug-17,BC170951,2 B Lady Cobham Grove Queen Charlotte Sound / Totaranui,,,,,," $3,500.00 ",free standing woodsman brunner mkii log fire
95538,Marlborough,Marlborough,30-Aug-17,BC171022,64 Hampden Street Picton,,,,,," $3,500.00 ",free standing woodsman brunner mkii log fire
95539,Marlborough,Marlborough,30-Sep-17,BC171179,58 Wither Road Blenheim,,,,,," $3,500.00 ",free-standing woodsman brunner mk ii log fire
95540,Marlborough,Marlborough,30-Aug-17,BC171062,261 C Waikawa Road Waikawa,,,,,," $3,500.00 ",free standing woodsman brunner mkii log fire
95541,Marlborough,Marlborough,30-Sep-17,BC171153,4 Hilton Place Blenheim,,,,,," $3,500.00 ",free standing metro extreme rad woody log fire
95542,Marlborough,Marlborough,30-Nov-17,BC171438,1078 Opouri Road Rai,,,,,," $3,500.00 ",free standing woodsman ecr novo log fire
95543,Marlborough,Marlborough,30-Jul-17,BC170844,6 Glover Crescent Blenheim,,,,,," $3,500.00 ",free-standing masport r1600 log fire
95544,Marlborough,Marlborough,30-Dec-17,BC171573,57 Old Renwick Road Blenheim,,,,,," $3,500.00 ",free standing woodsman brunner mkii log fire
95545,Marlborough,Marlborough,30-Nov-17,BC171517,18 Glenroy Crescent Blenheim,,,,,," $3,500.00 ",free standing woodsman novo log fire
95546,Marlborough,Marlborough,30-Oct-17,BC171287,2 Victoria Close,Picton,,,,," $3,500.00 ",logfire
95547,Marlborough,Marlborough,30-Aug-17,BC171039,15 Moenui Road Linkwater,,,,,," $3,500.00 ",free standing jayline fr300 log fire
95548,Marlborough,Marlborough,30-Nov-17,BC171437,29 Morse Street Wairau Valley,,,,,," $3,500.00 ",free standing metro wee rad log fire
95549,Marlborough,Marlborough,30-Nov-17,BC171495,39 Howick Road Blenheim,,,,,," $3,500.00 ",inbuilt woodsman totora log fire
95550,Marlborough,Marlborough,30-Nov-17,BC171435,11 B Joseph Street Spring Creek,,,,,," $3,500.00 ",woodsman totara insert log fire
95551,Marlborough,Marlborough,30-Nov-17,BC171436,20 A Roseneath Lane Blenheim,,,,,," $3,500.00 ",free standing metro xtreme rad base log fire
95552,Marlborough,Marlborough,30-Dec-17,BC171615,17 Glenroy Crescent Blenheim,,,,,," $3,400.00 ",free-standing woodsman ecr novo log fire
95553,Marlborough,Marlborough,30-Aug-17,BC170956,64 Main Road Havelock,,,,,," $3,400.00 ",free standing jayline fr300 log fire
95554,Marlborough,Marlborough,30-Jul-17,BC170890,SH 1 Riverlands,,,,,," $3,300.00 ",free standing woodsman ecr novo log fire
95555,Marlborough,Marlborough,30-Sep-17,BC171183,94 A Maxwell Road Blenheim,,,,,," $3,300.00 ",free-standing masport r1500 wood stacker log fire
95556,Marlborough,Marlborough,30-Sep-17,BC171180,20 Moran Street Blenheim,,,,,," $3,200.00 ",free-standing metro wee rad log fire
95557,Marlborough,Marlborough,30-Aug-17,BC170980,12 Ruthken Crescent Blenheim,,,,,," $3,200.00 ",inbuilt woodsmantotara log fire
95558,Marlborough,Marlborough,30-Jul-17,BC170855,30 A Shirtliff Street Blenheim,,,,,," $3,200.00 ",free-standing metro eco tiny ped log fire
95559,Marlborough,Marlborough,30-Jul-17,BC170850,11 Leicester Street Picton,,,,,," $3,200.00 ",free-standing woodsman matai ecr mk iii log fire
95560,Marlborough,Marlborough,30-Aug-17,BC171097,188 Mt Riley Road Okaramio,,,,,," $3,000.00 ",free standing metro ltd xtreme log fire with wetback
95561,Marlborough,Marlborough,30-Nov-17,BC171377,41 A Dillons Point Road Blenheim,,,,,," $3,000.00 ",free standing woodsman brunner mkii log fire
95562,Marlborough,Marlborough,30-Jul-17,BC170869,208 Howick Road Blenheim,,,,,," $3,000.00 ",free-standing masport r1500 ped log fire
95564,Marlborough,Marlborough,30-Aug-17,BC171040,111 Alabama Road Blenheim,,,,,," $3,000.00 ",free standing metro wee rad log fire with wetback
95565,Marlborough,Marlborough,30-Jul-17,BC170839,7 Richmond Street Blenheim,,,,,," $3,000.00 ",free-standing woodsman ecr novo log fire
95566,Marlborough,Marlborough,30-Aug-17,BC171059,235 Howick Road Blenheim,,,,,," $3,000.00 ",jayline insert is550 log fire
95568,Marlborough,Marlborough,30-Aug-17,BC171074,9 Parker Street Blenheim,,,,,," $2,600.00 ",milan harmony insert clean air log fire
95569,Marlborough,Marlborough,30-Jul-17,BC170851,4 Buick Street Blenheim,,,,,," $2,500.00 ",free-standing woodsman ecr novo log fire with wetback
95570,Marlborough,Marlborough,30-Nov-17,BC171416,18 C Clyde Street Renwick,,,,,," $2,500.00 ",free standing metro wee rad log fire
95574,Marlborough,Marlborough,30-Aug-17,BC170979,625 Brancott Road Fairhall,,,,,," $2,400.00 ",free standing firenzo contessa ru log fire
95575,Marlborough,Marlborough,30-Oct-17,BC171305,3 George Street,Picton,,,,," $2,100.00 ",logfire
95576,Marlborough,Marlborough,30-Nov-17,BC171450,22 Morven Lane Fairhall,,,,,," $2,000.00 ",free standing masport r5000 ped log fire
95577,Marlborough,Marlborough,30-Nov-17,BC171393,286 A Scott Street Blenheim,,,,,," $2,000.00 ",free standing woodsman ecr novo log fire
95581,Marlborough,Marlborough,30-Aug-17,BC171102,15 A Fyffe Street Blenheim,,,,,," $2,000.00 ",free standing masport r1500 log fire
95584,Marlborough,Marlborough,30-Aug-17,BC171094,65 Hospital Road Blenheim,,,,,," $1,700.00 ",free standing metro log fire
95588,Marlborough,Marlborough,30-Jul-17,BC170849,110 Hospital Road Blenheim,,,,,," $1,500.00 ",free-standing masport minos 2 log fire
95589,Marlborough,Marlborough,30-Jul-17,BC170902,3 Kinloch Crescent Blenheim,,,,,," $1,300.00 ",free standing woodsman brunner mkii log fire with wetback
95979,Nelson,Nelson,30-Sep-17,170634,Newman Drive,,Nelson,,,," $1,000.00 ",relocate wood burner
95984,Nelson,Nelson,30-Aug-17,170545,Chamboard Place,Nelson,,,,, $200.00 ,relocate woodburner
95989,Tasman,Tasman,30-Sep-17,T170810,430 Abel Tasman Drive,Takaka,,1871010001,,," $1,250,000.00 ",construct new dwelling with freestanding woodburner
95990,Tasman,Tasman,30-Sep-17,170810,430 Abel Tasman Drive,Takaka,,1871010001,,," $1,250,000.00 ",construct new dwelling with freestanding woodburner
95999,Tasman,Tasman,30-Nov-17,T171058,"14 Karamu Lane, Appleby",,,1938080037,,," $875,631.00 ",build 5 bdrm single storey dwelling with firenzo woodburner
96003,Tasman,Tasman,31-Jul-17,170524,"1829 Moutere Highway, Moutere",,,1928088401,,," $705,000.00 ","new dwelling with internal access garage, & woodburner"
96010,Tasman,Tasman,31-Jul-17,170548,852 Neudorf Road,,,1928091601,,," $650,000.00 ",new dwelling with freestanding stovax woodburner
96021,Tasman,Tasman,30-Aug-17,170722,71C Richmond Road,Pohara,,1871007589,,," $575,000.00 ",construct new dwelling with woodburner
96026,Tasman,Tasman,30-Nov-17,T171038,"32 Glacial Terrace, St Arnaud",,,1918039231,,," $500,000.00 ",3 bdrm dwelling with double garage and metro woodburner
96031,Tasman,Tasman,30-Oct-17,170900,"1878 Takaka-Collingwood Highway, Takaka-",,,1862042600,,," $490,000.00 ",construct new dwelling with freestanding wood burner
96032,Tasman,Tasman,30-Dec-17,171103,43 Torlesse Drive,Kaiteriteri,,1931041283,,," $484,334.00 ",new dwelling with masport r5000p woodburner
96040,Tasman,Tasman,31-Jul-17,170575,"57 Galeo Road, Redwood Valley",,,1938072336,,," $454,371.00 ",new dwelling with attached garage and rinnai neo woodburner
96045,Tasman,Tasman,30-Oct-17,170958,131 Seaton Valley Road,,,1938059707,,," $442,093.00 ",new dwelling with i/a garage and freestanding woodburner
96048,Tasman,Tasman,31-Jul-17,170516,"180 Hoddy Road, Bronte",,,1938074102,,," $423,759.00 ",new dwelling with detached garage & 2 wood burners
96054,Tasman,Tasman,30-Sep-17,170848,315 Tapawera-Baton Road,Tapawera,,1925006510,,," $402,000.00 ",new dwelling with carport and freestanding metro woodburner
96055,Tasman,Tasman,30-Sep-17,T170848,315 Tapawera-Baton Road,Tapawera,,1925006510,,," $402,000.00 ",new dwelling with carport and freestanding metro woodburner
96067,Tasman,Tasman,30-Oct-17,170884,"61 Matenga Road, Ligar Bay",,,1871006221,,," $398,000.00 ",construct new dwelling with freestanding wood burner
96072,Tasman,Tasman,30-Sep-17,170805,78 Eban Road,Bronte South,,1938072261,,," $357,500.00 ",new dwelling with freestanding log burner
96082,Tasman,Tasman,31-Jul-17,170520,"4 Starveall Street, Brightwater",,,1939035214,,," $347,339.00 ","new dwelling,internal access double garage & woodburner"
96099,Tasman,Tasman,30-Sep-17,170833,549 Kerr Hill Road,Golden Downs,,1925063400,,," $306,000.00 ",new dwelling with i/a garage & woodburner
96100,Tasman,Tasman,30-Sep-17,T170833,549 Kerr Hill Road,Golden Downs,,1925063400,,," $306,000.00 ",new dwelling with i/a garage & woodburner
96104,Tasman,Tasman,31-Jul-17,170232,"99 Brooks View Heights, Tasman",,,1928076367,,," $300,000.00 ",new dwelling with free standing metro wee rad woodburner
96107,Tasman,Tasman,30-Sep-17,T170783,14C Saxon Street,Motueka,,1955007410,,," $300,000.00 ",new dwelling with internal access garaging and woodburner
96109,Tasman,Tasman,30-Sep-17,T170815,157 Lodder Lane,,,1933036600,,," $300,000.00 ",new dwelling with double garage & woodsman woodburner
96110,Tasman,Tasman,30-Sep-17,170815,157 Lodder Lane,,,1933036600,,," $300,000.00 ",new dwelling with double garage & woodsman woodburner
96111,Tasman,Tasman,30-Sep-17,170783,14C Saxon Street,Motueka,,1955007410,,," $300,000.00 ",new dwelling with internal access garaging and woodburner
96115,Tasman,Tasman,30-Nov-17,T170901,"25 Glacial Terrace, St Arnaud",,,1918039232,,," $298,000.00 ",new dwelling with freestanding wood burner and att
96123,Tasman,Tasman,30-Oct-17,170861,"51A Ellis Street, Brightwater",,,1939039501,,," $289,678.00 ",construct new dwelling with freestanding wood burner
